code,ticker,codesource,name,market,category,cur,country,continent,date,short_name,coverage,benchmark,performance,month_history,updated,industry,sector
STKVNSHN,SHN,,HANOI INVESTMENT GENERAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,HANOI INVESTMENT GENERAL,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNSHP,SHP,,SOUTHERN HYDROPOWER,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,SOUTHERN HYDROPOWER,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,UTILITIES,UTILITIES
STKVNSHS,SHS,,SAI GON - HA NOI SECURITIES,HNX,LARGE,VND,VIETNAM,ASIA,2024-10-01,SAI GON - HA NOI SECURITIES,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FINANCIAL SERVICES,FINANCIALS
STKVNSIP,SIP,,SAI GON VRG INVESTMENT,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,SAI GON VRG INVESTMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNSJ1,SJ1,,HUNG HAU AGRICULTURAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,HUNG HAU AGRICULTURAL,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNSJD,SJD,,CAN DON HYDRO POWER,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,CAN DON HYDRO POWER,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,UTILITIES,UTILITIES
STKVNSJE,SJE,,SONG DA 11,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SONG DA 11,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNSJF,SJF,,SUNSTAR INVESTMENT,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SUNSTAR INVESTMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNSJS,SJS,,SUDICO,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,SUDICO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNSKG,SKG,,SUPERDONG - KIEN GIANG FAST FERRY,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SUPERDONG - KIEN GIANG FAST FERRY,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNSLS,SLS,,SON LA SUGAR,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SON LA SUGAR,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNSMA,SMA,,SAIGON MACHINCO,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAIGON MACHINCO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNSMB,SMB,,SAI GON - MIEN TRUNG BEER,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAI GON - MIEN TRUNG BEER,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNSMC,SMC,,SMC TRADING AND INVM'T,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SMC TRADING AND INVM'T,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNSMN,SMN,,SOUTH BOOKS AND EDUCATION EQUIPMENT,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SOUTH BOOKS AND EDUCATION EQUIPMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,MEDIA,CONSUMER SERVICES
STKVNSMT,SMT,,SAMETEL,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAMETEL,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TECHNOLOGY,TECHNOLOGY
STKVNSPC,SPC,,SAIGON PLANT PROTECTION,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAIGON PLANT PROTECTION,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CHEMICALS,BASIC MATERIALS
STKVNSPI,SPI,,STONE SPILIT,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,STONE SPILIT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNSPM,SPM,,S.P.M CORP,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,S.P.M CORP,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,HEALTH CARE,HEALTH CARE
STKVNSRA,SRA,,SARA VIETNAM,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SARA VIETNAM,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TECHNOLOGY,TECHNOLOGY
STKVNSRC,SRC,,SAO VANG RUBBER,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAO VANG RUBBER,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,AUTOMOBILES & PARTS,CONSUMER GOODS
STKVNSRF,SRF,,SEAREFICO,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SEAREFICO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNSSB,SSB,,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BANKS,FINANCIALS
STKVNSSC,SSC,,SOUTHERN SEED JSC,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SOUTHERN SEED JSC,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNSSI,SSI,,SAIGON SECURITIES INC.,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,SAIGON SECURITIES INC.,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FINANCIAL SERVICES,FINANCIALS
STKVNSSM,SSM,,VNECO STEEL STRUCTURE,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,VNECO STEEL STRUCTURE,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNST8,ST8,,SIEU THANH CORP.,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SIEU THANH CORP.,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TECHNOLOGY,TECHNOLOGY
STKVNSTB,STB,,SACOMBANK,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,SACOMBANK,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BANKS,FINANCIALS
STKVNSTC,STC,,HCM BOOK AND EDU EQUIPMENTS,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,HCM BOOK AND EDU EQUIPMENTS,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,MEDIA,CONSUMER SERVICES
STKVNSTG,STG,,SOUTH LOGISTICS,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,SOUTH LOGISTICS,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
